name,description,location_name,latitude,longitude,address,start_time,end_time,city,primary_category,secondary_categories,thumbnail_image,additional_images,external_link,is_paid
Harry Potter and the Cursed Child,,Lyric Theatre - NY,40.759300000,-73.990196000,213 W 42nd St,2026-06-28T19:00:00Z,,new york,Arts & Theatre,Performance Art,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_TABLET_LANDSCAPE_LARGE_16_9.jpg,"https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_ARTIST_PAGE_3_2.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_SOURCE,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_CUSTOM.jpg",https://www.ticketmaster.com/event/Z7r9jZ1A7rKek,false
Aladdin,,New Amsterdam Theatre,40.75605705,-73.98792867,214 West 42nd Street,2026-06-28T19:00:00Z,,new york,Arts & Theatre,Theatre,https://s1.ticketm.net/dam/a/517/5ba651a0-33db-401d-8e63-87806e86f517_SOURCE,"https://s1.ticketm.net/dam/a/517/5ba651a0-33db-401d-8e63-87806e86f517_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/517/5ba651a0-33db-401d-8e63-87806e86f517_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/517/5ba651a0-33db-401d-8e63-87806e86f517_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/517/5ba651a0-33db-401d-8e63-87806e86f517_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/517/5ba651a0-33db-401d-8e63-87806e86f517_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/517/5ba651a0-33db-401d-8e63-87806e86f517_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/517/5ba651a0-33db-401d-8e63-87806e86f517_CUSTOM.jpg,https://s1.ticketm.net/dam/a/517/5ba651a0-33db-401d-8e63-87806e86f517_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://s1.ticketm.net/dam/a/517/5ba651a0-33db-401d-8e63-87806e86f517_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/517/5ba651a0-33db-401d-8e63-87806e86f517_ARTIST_PAGE_3_2.jpg",https://www.ticketmaster.com/aladdin-new-york-new-york-06-28-2026/event/0300632FABDD137F,false
Wicked (NY),,Gershwin Theatre,40.76254204,-73.98502682,222 West 51st Street,2026-06-28T19:00:00Z,,new york,Arts & Theatre,Theatre,https://s1.ticketm.net/dam/a/963/bdfc3e57-f001-4729-9424-53d9ad83c963_TABLET_LANDSCAPE_16_9.jpg,"https://s1.ticketm.net/dam/a/963/bdfc3e57-f001-4729-9424-53d9ad83c963_CUSTOM.jpg,https://s1.ticketm.net/dam/a/963/bdfc3e57-f001-4729-9424-53d9ad83c963_ARTIST_PAGE_3_2.jpg,https://s1.ticketm.net/dam/a/963/bdfc3e57-f001-4729-9424-53d9ad83c963_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/963/bdfc3e57-f001-4729-9424-53d9ad83c963_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/963/bdfc3e57-f001-4729-9424-53d9ad83c963_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/963/bdfc3e57-f001-4729-9424-53d9ad83c963_SOURCE,https://s1.ticketm.net/dam/a/963/bdfc3e57-f001-4729-9424-53d9ad83c963_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://s1.ticketm.net/dam/a/963/bdfc3e57-f001-4729-9424-53d9ad83c963_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/963/bdfc3e57-f001-4729-9424-53d9ad83c963_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/963/bdfc3e57-f001-4729-9424-53d9ad83c963_RETINA_LANDSCAPE_16_9.jpg",https://www.ticketmaster.com/wicked-ny-new-york-new-york-06-28-2026/event/Z1r9uZrrZbpZ1AvpK7-,false
"The Lion King (New York, NY)",,Minskoff Theatre,40.75798600,-73.98577175,200 West 45th Street,2026-06-28T19:00:00Z,,new york,Arts & Theatre,Theatre,https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_SOURCE,"https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_ARTIST_PAGE_3_2.jpg,https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_CUSTOM.jpg,https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_RETINA_PORTRAIT_3_2.jpg",https://www.ticketmaster.com/the-lion-king-new-york-ny-new-york-new-york-06-28-2026/event/Z1r9uZrrZbpZ1Avr97Y,false
The Lion King,,Minskoff Theatre,40.759300000,-73.990196000,1515 Broadway,2026-06-28T19:00:00Z,,new york,Arts & Theatre,Theatre,https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_SOURCE,"https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_ARTIST_PAGE_3_2.jpg,https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_CUSTOM.jpg,https://s1.ticketm.net/dam/a/7ae/48ba24c8-7e1c-4830-bff1-ad8451b847ae_RETINA_PORTRAIT_3_2.jpg",https://www.ticketmaster.com/event/Z7r9jZ1A7jJvU,false
The Cheesemonger Invitational 2026,"The Cheesemonger Invitational (CMI) is the ultimate celebration of cheese a truly unique event that unites industry insiders, passionate cheesemongers, and cheese enthusiasts for an unforgettable experience. Often hailed as the ""Olympics of Cheesemongering,"" CMI showcases the finest cheesemongers in the field, who compete in a thrilling live finale that challenges their skill, knowledge, and creativity with cheese. And did we mention it is all you can eat cheese???",Manhattan Center Hammerstein Ballroom,40.75266400,-73.99430900,311 West 34th Street,2026-06-28T19:00:00Z,,new york,Miscellaneous,Food & Drink,https://s1.ticketm.net/dam/e/614/de47b7c7-1a53-42e4-ae1b-3da878c39614_TABLET_LANDSCAPE_LARGE_16_9.jpg,"https://s1.ticketm.net/dam/e/614/de47b7c7-1a53-42e4-ae1b-3da878c39614_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/e/614/de47b7c7-1a53-42e4-ae1b-3da878c39614_CUSTOM.jpg,https://s1.ticketm.net/dam/e/614/de47b7c7-1a53-42e4-ae1b-3da878c39614_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/e/614/de47b7c7-1a53-42e4-ae1b-3da878c39614_ARTIST_PAGE_3_2.jpg,https://s1.ticketm.net/dam/e/614/de47b7c7-1a53-42e4-ae1b-3da878c39614_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/e/614/de47b7c7-1a53-42e4-ae1b-3da878c39614_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/e/614/de47b7c7-1a53-42e4-ae1b-3da878c39614_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/e/614/de47b7c7-1a53-42e4-ae1b-3da878c39614_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/e/614/de47b7c7-1a53-42e4-ae1b-3da878c39614_EVENT_DETAIL_PAGE_16_9.jpg",https://www.ticketmaster.com/the-cheesemonger-invitational-2026-new-york-new-york-06-28-2026/event/00006478B988CD3B,false
DREAMLAND PRIDE IN CENTRAL PARK 2026: PURPLE DISCO MACHINE + KUNGS,Lineup subject to change,Capital One City Parks Foundation SummerStage,40.76920158,-73.97155468,"69th St at 5th Ave Entrance / Rumsey Playfield, ",2026-06-28T19:00:00Z,,new york,Music,Pop,https://s1.ticketm.net/dam/a/da7/5d620386-bf15-4926-8b79-e8c9a39a5da7_TABLET_LANDSCAPE_16_9.jpg,"https://s1.ticketm.net/dam/a/da7/5d620386-bf15-4926-8b79-e8c9a39a5da7_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/da7/5d620386-bf15-4926-8b79-e8c9a39a5da7_CUSTOM.jpg,https://s1.ticketm.net/dam/a/da7/5d620386-bf15-4926-8b79-e8c9a39a5da7_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/da7/5d620386-bf15-4926-8b79-e8c9a39a5da7_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/da7/5d620386-bf15-4926-8b79-e8c9a39a5da7_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://s1.ticketm.net/dam/a/da7/5d620386-bf15-4926-8b79-e8c9a39a5da7_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/da7/5d620386-bf15-4926-8b79-e8c9a39a5da7_SOURCE,https://s1.ticketm.net/dam/a/da7/5d620386-bf15-4926-8b79-e8c9a39a5da7_ARTIST_PAGE_3_2.jpg,https://s1.ticketm.net/dam/a/da7/5d620386-bf15-4926-8b79-e8c9a39a5da7_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/da7/5d620386-bf15-4926-8b79-e8c9a39a5da7_RETINA_PORTRAIT_16_9.jpg",https://www.ticketmaster.com/dreamland-pride-in-central-park-2026-new-york-new-york-06-28-2026/event/0000643EE4267172,false
MJ,,Neil Simon Theatre,40.76314609,-73.98399646,250 West 52nd Street,2026-06-28T19:00:00Z,,new york,Arts & Theatre,Theatre,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_TABLET_LANDSCAPE_LARGE_16_9.jpg,"https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_CUSTOM.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_ARTIST_PAGE_3_2.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_SOURCE,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_RETINA_LANDSCAPE_16_9.jpg",https://www.ticketmaster.com/mj-new-york-new-york-06-28-2026/event/Z1r9uZrrZbpZ1Avqa-K,false
MJ (NY),,Neil Simon Theatre,40.765202000,-73.985298000,250 West 52nd St.,2026-06-28T19:00:00Z,,new york,Arts & Theatre,Miscellaneous,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_TABLET_LANDSCAPE_LARGE_16_9.jpg,"https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_CUSTOM.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_ARTIST_PAGE_3_2.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_SOURCE,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_RETINA_LANDSCAPE_16_9.jpg",https://www.ticketmaster.com/event/Z7r9jZ1A7Q7Of,false
Friends! The Musical Parody (New York),"It's a seemingly typical day at New York's only coffee shop, Central Perk, until an unexpected runaway bride with beautiful hair enters the picture and kicks the whole gang out of second gear!",The Theater Center,40.76161629,-73.98448955,210 W. 50th Street,2026-06-28T19:30:00Z,,new york,Arts & Theatre,Theatre,https://s1.ticketm.net/dam/a/07c/5a874f93-5a1e-4830-b635-05656bdb707c_TABLET_LANDSCAPE_16_9.jpg,"https://s1.ticketm.net/dam/a/07c/5a874f93-5a1e-4830-b635-05656bdb707c_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/07c/5a874f93-5a1e-4830-b635-05656bdb707c_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/07c/5a874f93-5a1e-4830-b635-05656bdb707c_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/07c/5a874f93-5a1e-4830-b635-05656bdb707c_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/07c/5a874f93-5a1e-4830-b635-05656bdb707c_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://s1.ticketm.net/dam/a/07c/5a874f93-5a1e-4830-b635-05656bdb707c_SOURCE,https://s1.ticketm.net/dam/a/07c/5a874f93-5a1e-4830-b635-05656bdb707c_ARTIST_PAGE_3_2.jpg,https://s1.ticketm.net/dam/a/07c/5a874f93-5a1e-4830-b635-05656bdb707c_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/07c/5a874f93-5a1e-4830-b635-05656bdb707c_CUSTOM.jpg,https://s1.ticketm.net/dam/a/07c/5a874f93-5a1e-4830-b635-05656bdb707c_RETINA_PORTRAIT_3_2.jpg",https://www.ticketmaster.com/friends-the-musical-parody-new-york-new-york-new-york-06-28-2026/event/3000646D986E3940,false
